country_iso3,date,event_cnt,tone_mean,polarity_mean,hub_events,tone_norm,polarity_norm,event_cnt_norm,hub_events_norm,simple_score,simple_score_norm,event_cnt_z
HKG,2016-02-19,11,,,11,0,0.0,0.006788866259334691,0.006793478260869565,0.00407424215590779,0.006790403593179649,-0.1537362787790498
HKG,2016-02-20,2,,,2,0,0.0,0.0006788866259334691,0.0006793478260869565,0.00040742421559077893,0.0006790403593179648,-0.28046365429939735
HKG,2016-02-21,2,,,2,0,0.0,0.0006788866259334691,0.0006793478260869565,0.00040742421559077893,0.0006790403593179648,-0.28046365429939735
HKG,2016-02-22,18,,3060.5,18,0,0.06907642305782513,0.011541072640868975,0.01154891304347826,0.0069262116650432425,0.011543686108405402,-0.05517054226322395
HKG,2016-02-23,7,,,7,0,0.0,0.004073319755600814,0.004076086956521739,0.0024445452935446736,0.004074242155907789,-0.21005955678809315
HKG,2016-02-24,10,,608.0,10,0,0.0137227463548955,0.006109979633401222,0.006114130434782609,0.003666817940317011,0.006111363233861684,-0.16781709828131064
HKG,2016-02-25,15,,1490.0,15,0,0.03362975669209588,0.009504412763068567,0.009510869565217392,0.0057039390182709055,0.009506565030451507,-0.09741300077000646
HKG,2016-02-26,16,,5208.0,16,0,0.11754615627680223,0.010183299389002037,0.010190217391304348,0.006111363233861685,0.010185605389769474,-0.08333218126774562
HKG,2016-02-27,1,,,1,0,0.0,0.0,0.0,0.0,0.0,-0.29454447380165816
HKG,2016-02-28,8,,,8,0,0.0,0.0047522063815342835,0.004755434782608696,0.0028519695091354528,0.004753282515225754,-0.19597873728583232
HKG,2016-02-29,15,,1208.0,15,0,0.0272649302577529,0.009504412763068567,0.009510869565217392,0.0057039390182709055,0.009506565030451507,-0.09741300077000646
HKG,2016-03-01,11,,,11,0,0.0,0.006788866259334691,0.006793478260869565,0.00407424215590779,0.006790403593179649,-0.1537362787790498
HKG,2016-03-02,9,,,9,0,0.0,0.005431093007467753,0.005434782608695652,0.0032593937247262315,0.0054323228745437185,-0.18189791778357148
HKG,2016-03-03,10,,3742.5,10,0,0.08446937209407304,0.006109979633401222,0.006114130434782609,0.003666817940317011,0.006111363233861684,-0.16781709828131064
HKG,2016-03-04,4,,,4,0,0.0,0.002036659877800407,0.0020380434782608695,0.0012222726467723368,0.0020371210779538945,-0.25230201529487567
HKG,2016-03-05,3,,,3,0,0.0,0.0013577732518669382,0.001358695652173913,0.0008148484311815579,0.0013580807186359296,-0.2663828347971365
HKG,2016-03-06,24,,2747.1111111111113,24,0,0.062003139780416,0.015614392396469789,0.015625,0.009370756958587915,0.015617928264313189,0.029314374750341068
HKG,2016-03-07,5,,2750.0,5,0,0.06206834288809642,0.0027155465037338763,0.002717391304347826,0.0016296968623631157,0.0027161614372718593,-0.23822119579261483
HKG,2016-03-08,26,,2014.5,26,0,0.04546788245384372,0.01697216564833673,0.016983695652173912,0.010185605389769474,0.016976008982949122,0.05747601375486274
HKG,2016-03-09,17,,2083.5,17,0,0.04702523360267232,0.010862186014935505,0.010869565217391304,0.006518787449452463,0.010864645749087437,-0.06925136176548478
HKG,2016-03-10,16,,1372.25,16,0,0.030972103101160112,0.010183299389002037,0.010190217391304348,0.006111363233861685,0.010185605389769474,-0.08333218126774562
HKG,2016-03-11,19,,2095.75,19,0,0.047301719857355665,0.012219959266802444,0.012228260869565218,0.007333635880634022,0.012222726467723368,-0.041089722760963114
HKG,2016-03-12,4,,2057.3333333333335,4,0,0.04643464391579771,0.002036659877800407,0.0020380434782608695,0.0012222726467723368,0.0020371210779538945,-0.25230201529487567
HKG,2016-03-13,3,,,3,0,0.0,0.0013577732518669382,0.001358695652173913,0.0008148484311815579,0.0013580807186359296,-0.2663828347971365
HKG,2016-03-14,6,,548.0,6,0,0.012368527964609759,0.0033944331296673455,0.0033967391304347825,0.002037121077953895,0.0033952017965898245,-0.224140376290354
HKG,2016-03-15,37,,1315.25,37,0,0.02968559563038866,0.024439918533604887,0.024456521739130436,0.014667271761268044,0.024445452935446737,0.21236502827973194
HKG,2016-03-16,56,,608.0,56,0,0.0137227463548955,0.0373387644263408,0.03736413043478261,0.022408331857492844,0.03734721976248807,0.4799005988226879
HKG,2016-03-17,16,,2731.5,16,0,0.061650792217758314,0.010183299389002037,0.010190217391304348,0.006111363233861685,0.010185605389769474,-0.08333218126774562
HKG,2016-03-18,27,,548.0,27,0,0.012368527964609759,0.017651052274270197,0.017663043478260868,0.010593029605360254,0.017655049342267085,0.07155683325712357
HKG,2016-03-19,15,,2325.0,15,0,0.05247596262357243,0.009504412763068567,0.009510869565217392,0.0057039390182709055,0.009506565030451507,-0.09741300077000646
HKG,2016-03-20,5,,2747.0,5,0,0.06200063196858213,0.0027155465037338763,0.002717391304347826,0.0016296968623631157,0.0027161614372718593,-0.23822119579261483
HKG,2016-03-21,11,,,11,0,0.0,0.006788866259334691,0.006793478260869565,0.00407424215590779,0.006790403593179649,-0.1537362787790498
HKG,2016-03-22,8,,608.0,8,0,0.0137227463548955,0.0047522063815342835,0.004755434782608696,0.0028519695091354528,0.004753282515225754,-0.19597873728583232
HKG,2016-03-23,7,,1650.5,7,0,0.037252290886110234,0.004073319755600814,0.004076086956521739,0.0024445452935446736,0.004074242155907789,-0.21005955678809315
HKG,2016-03-24,77,,,77,0,0.0,0.051595383570943655,0.051630434782608696,0.030964240384899207,0.05160706730816534,0.7755978083701655
HKG,2016-03-25,11,,,11,0,0.0,0.006788866259334691,0.006793478260869565,0.00407424215590779,0.006790403593179649,-0.1537362787790498
HKG,2016-03-26,4,,6731.333333333333,4,0,0.15192825651905686,0.002036659877800407,0.0020380434782608695,0.0012222726467723368,0.0020371210779538945,-0.25230201529487567
HKG,2016-03-27,2,,,2,0,0.0,0.0006788866259334691,0.0006793478260869565,0.00040742421559077893,0.0006790403593179648,-0.28046365429939735
HKG,2016-03-28,354,,2013.3809523809523,354,0,0.04544262520608839,0.2396469789545146,0.23980978260869565,0.14382074810354498,0.2397012468392416,4.675984810496416
